Sample,SRR7162297,SRR7162298,SRR7162299,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162311,SRR7162315,SRR7162316,SRR7162318,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162325,SRR7162326,SRR7162331,SRR7162332,SRR7162334,SRR7162335,SRR7162336,SRR7162339,SRR7162340,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162349,SRR7162351,SRR7162352,SRR7162353,SRR7162355,SRR7162356,SRR7162358,SRR7162359,SRR7162361,SRR7162362,SRR7162363,SRR7162365,SRR7162366,SRR7162370,SRR7162372,SRR7162374,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162382,SRR7162383,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162393,SRR7162396,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162407,SRR7162408,SRR7162410,SRR7162411,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162418,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
CDPS,2783.4458,0,0,0,0,0,0,0,5969.2793,4517.145,0,0,0,0,0,1607.8422,0,168104.17,0,6906.112,0,1307.3229,0,2472.635,5842.588,5908.254,0,0,4476.078,0,0,3486.033,5225.844,0,0,0,0,7172.668,5579.7515,1144.6444,0,0,11786.015,0,12430.124,977.41125,0,26406.25,4622.7427,1966.8064,0,132252.83,6429.4307,6680.6807,0,0,0,0,13704.455,1538.2837,0,0,0,1909.8853,0,0,0,0,0,10642.807,0,0,0,0,0,9722.331,3418.894,8579.902,10830.514,0,0,9000.549,2641.362,0,2161.9248,0,0
LAP,0,0,0,0,2824.0261,0,24033.295,0,0,0,0,0,0,0,0,0,0,0,4906.578,931.5261,979.33856,0,0,687.48096,0,0,0,733.2854,0,0,0,0,0,0,1077.8207,0,0,0,4439.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249.1139,0,7.7839785,2152.3801,0,2940.8315,0,2313.325,0,0,3526.0374,660.1803,0,0,0,0,1153.4691,0,0,0,0,0,0,0,916.84717,0,0,0,0,2173.5532,0,5847.8306,0,0
NRPS,15005.3032,18260.26402,40122.98915,7086.0725,7008.421,427350.184,14697.5404,7058.63651,25409.1248,57172.20094,0,122263.7656,11105.7811,137799.7044,3458.3145,5871.4346,10797.3227,8703.4112,17951.01167,939.05695,27535.6203,31475.53215,2939.8344,9299.31066,3284.7307,10003.6328,26038.96934,91324.1363,17326.4533,45580.53769,13561.40359,43503.50974,14064.0528,39708.2052,16721.07175,55205.49547,32582.4032,1300.23,43820.19945,12057.02883,19295.7226,62255.1389,2674.50699,30527.5498,25061.38455,10302.5442,12281.40127,50810.7411,13317.01626,29112.479,10284.62425,16241.3659,12546.8674,15353.4212,61725.3579,1562.43879,5266.6031,25824.5356,10427.03387,4762.9179,4856.6,53819.9143,19618.6142,16173.7573,26800.7403,10384.7444,22202.73234,26151.67025,114886.0148,21578.53608,11167.32125,385030.3657,8037.0056,15433.41,17612.8283,84643.01823,11773.49147,70350.29234,69064.349,6488.12245,38085.4467,8533.3902,10965.4119,92065.56095,9528.88347,22198.8276,32389.5755
NRPS-like,1113.9922,8064.26791,13860.0548,4847.6776,31420.9551,2093.75572,5409.5338,10575.11874,19671.7541,14837.2009,1462.3181,53162.6433,3151.0481,3910.3396,1465.1397,19577.9473,9180.3069,126462.348,3857.7056,16610.25396,177794.1527,69364.61219,16904.16165,40014.40148,60742.6067,16871.307,10549.083,4406.63875,43581.9147,27.177684,3612.9764,45421.5192,16581.2476,216127.232,7186.7923,2872.75146,18449.82971,25494.85305,22653.1022,16343.0727,5360.30714,4081.1667,0,19633.97133,3395.98496,15178.61894,11816.18504,42725.548,58172.6729,2757.6493,46199.765,126149.8651,0,4148.77255,33719.1269,3002.836103,5634.72398,5073.5991,44510.6651,4608.64869,1811.6322,12452.432,6195.8423,9168.4998,9968.31952,2178.83694,19312.81156,995.3127,3687.6927,10964.75018,6324.0807,0,2757.3261,34067.5165,13467.5794,11101.9887,5691.6881,23815.4527,116568.5962,16283.09221,854.87103,4356.85847,98026.7025,12602.1653,8885.80666,9469.732,8973.773
RRE-containing,389275.9222,211947.7811,351756.393,262261.6833,161255.6233,136926.6552,201211.6414,414318.2426,282577.9246,271289.8233,359479.2642,161038.4873,337330.2878,117063.6407,375923.5646,270798.5685,259703.276,206247.6986,360092.5771,268056.8089,466567.4834,148518.27,204095.8095,220743.6545,265301.0984,287444.7428,193056.2202,219183.432,208174.2505,264305.854,257393.9681,179927.0401,130581.1871,367845.8642,163205.0462,387778.2795,267963.0242,403970.4045,261946.8561,252641.9696,207177.2184,131488.0579,191050.1281,141988.8693,257018.1898,192651.8736,352210.1698,210105.2526,227345.3156,366411.2428,318665.8718,219476.9916,354619.2578,257683.6121,201171.9358,431681.1778,282695.3235,98128.7191,335826.5107,374087.0485,427701.0731,305680.006,177906.2569,255506.3077,209279.6946,204784.0672,144515.3418,199316.6492,278267.302,162039.8272,245408.2141,5171.9507,421772.7014,155712.2209,419984.5035,248520.771,264013.9759,377282.164,339986.4234,275474.9193,336400.8413,585905.3955,453003.9278,266764.5631,224969.9202,433353.6365,184216.1951
RiPP-like,169074.7296,56433.4438,36866.7213,111198.1969,25756.60684,21993.5883,51269.43057,18643.2022,41146.5727,42841.0867,18490.7329,34944.75721,41595.2198,164879.5136,16482.1455,70803.0937,70679.359,22725.48758,56448.9697,14355.08441,40187.3712,5961.42427,59559.70532,58514.37875,31466.7803,19202.4005,40380.9777,30334.2665,33099.3587,2588.023657,9978.167,118052.5759,18283.3831,79084.9687,48854.5976,30248.52,84545.29415,148164.8908,28697.29276,25434.8112,30083.08864,184695.617,11246.454,118903.2929,86466.5529,97071.3534,92283.4316,61474.9988,43522.44529,61105.8424,19134.5383,35518.44005,39502.8966,34939.43,42910.6796,35059.3279,16985.78678,24511.8148,87846.4121,290942.428,2716.3192,87878.7572,23424.1954,24273.5938,45228.83165,65399.14405,30400.8545,30157.4307,121911.2374,33036.67605,10812.4898,190007.1784,30368.8184,26655.765,41836.078,14550.215,117551.1333,35101.7427,56751.843,8039.8995,26916.399,2395.285,39310.3387,88720.4588,37686.9572,43817.613,178069.1578
T1PKS,0,0,2969.36295,0,0,0,0,0,0,4068.0813,973.5274,717.37897,0,0,0,907.6108,804.4514,0,793.0123,0,0,0,0,973.6291,0,0,0,0,0,0,0,1521.2258,0,0,0,0,0,6751.0166,1515.345,0,2850.4604,0,0,1470.281,5943.868,0,0,0,0,0,0,835.1898,0,0,0,7.1270237,3282.6028,47491.875,0,0,0,3836.2275,1196.8478,0,0,0,0,0,0,0,0,0,3268.2373,0,0,0,2683.4185,1610.5071,0,0,0,0,0,0,0,0,1141.1333
T2PKS,0,978.2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3PKS,2481.5061,0,0,0,2118.5742,0,0,1062.202,3598.3074,0,0,0,0,0,0,0,0,680.9831,0,0,4145.9066,0,0,2025.6761,0,0,0,831.09393,0,0,0,0,2472.826,0,0,0,0,14615.9113,0,0,388.14496,0,0,2330.1072,1266.533,0,0,0,0,0,0,0,0,0,1397.9543,0,0,0,1049.3986,0,0,14126.8147,0,0,0,0,0,0,0,0,0,24243.1855,0,0,0,0,0,0,0,0,0,0,0,20909.5127,0,0,0
arylpolyene,89265.6711,164186.0437,69612.0391,86026.844,99305.0711,52510.24414,173657.3812,156553.572,94767.1067,80136.40955,83824.4415,22767.725,248631.972,307654.6123,85236.056,102591.1667,309610.5203,87154.43346,65476.5159,164826.3208,111181.8325,100124.1477,75436.97366,49417.90771,358356.0286,374575.6155,78961.2718,158177.4499,230151.1565,43234.06709,78377.7142,69215.37789,308612.052,25106.2035,183731.5669,56570.0279,113764.0759,144927.0209,93355.74898,121105.382,53975.0097,78614.9376,274307.6758,162021.7261,91794.1078,95571.8923,68000.02415,362120.7358,22260.40123,24790.0104,39331.904,86430.47936,163813.7542,112893.0044,75698.124,176439.0528,23201.12399,478940.826,186068.1803,42860.62265,156002.6888,87843.3956,140473.8527,326972.4274,164534.5757,189325.6428,207198.8791,98825.38717,121509.1175,173491.5998,190960.9062,11980.22163,72244.58728,85208.9591,114148.4036,133361.4673,503180.7267,126852.4583,141702.247,130890.3076,20676.2115,69664.4042,225310.031,95889.5984,131579.2462,82960.1151,218023.4147
