Species,SRR7162297,SRR7162298,SRR7162299,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162311,SRR7162315,SRR7162316,SRR7162318,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162325,SRR7162326,SRR7162331,SRR7162332,SRR7162334,SRR7162335,SRR7162336,SRR7162339,SRR7162340,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162349,SRR7162351,SRR7162352,SRR7162353,SRR7162355,SRR7162356,SRR7162358,SRR7162359,SRR7162361,SRR7162362,SRR7162363,SRR7162365,SRR7162366,SRR7162370,SRR7162372,SRR7162374,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162382,SRR7162383,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162393,SRR7162396,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162407,SRR7162408,SRR7162410,SRR7162411,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162418,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
Acetohalobium arabaticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.98147,76.68464,149.80842,0,0,0,0,149.46008,0,0,0,117.08812,151.6041,0,0,0,98.982666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.4383,116.31729,0,0,52.121216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acholeplasma laidlawii,98.64163,0,0,0,81.66215,0,0,0,0,116.9319,157.75204,0,0,0,0,203.36885,488.544527,0,117.64015,0,136.04861,268.877464,0,0,0,0,0,0,0,0,105.444305,116.22282,0,0,0,0,0,0,0,0,112.96642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028.35548,0,0,0,106.204445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.907036,0,0
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.11356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus fermentans,3286.823553,3483.22085,10051.08362,6105.3896,5274.07018,9385.07257,3353.581608,507.9778,9729.369305,5809.722825,9364.2735,430.76553,5284.20062,8982.45634,9723.11636,7234.46887,2810.541257,1745.577361,25168.31529,7716.6993,3959.08825,2047.376321,3820.70834,3088.16731,7866.335034,8708.541615,120.08906,6937.57988,11134.79957,0,4014.530783,4621.82577,4357.85568,2430.983206,3256.21442,6728.0684,2615.00374,6634.69358,5913.490167,15327.8657,3079.176866,3536.66191,509.913194,4796.001119,3026.70406,4676.512864,8166.4265,3879.6654,8034.502097,2569.39619,4157.469625,3380.316859,9437.61989,14426.64474,0,8851.447136,2649.330101,449.62677,18901.57595,7968.971326,3365.513605,3300.45167,4433.34156,1561.138091,9721.79252,2767.5593,6381.71476,7163.82486,2770.871425,507.54764,4743.23772,0,15082.63332,14991.10468,13037.6907,5732.210986,23.67530022,37650.9899,2560.2888,3114.16407,3028.06556,1356.77088,14486.63944,2992.03775,7468.11917,7002.92891,3265.19509
Acidimicrobium ferrooxidans,0,0,0,0,0,0,0,1771.7952,504.14597,362.67352,0,0,148.89499,1886.5968,0,141.04182,0,0,135.62631,0,0,83.714226,1799.04214,408.64966,657.83673,596.36884,56.448666,739.1596,564.7223,0,0,0,0,0,709.24646,1133.0409,0,707.24854,301.30612,403.2368,0,0,1597.3539,0,0,0,0,2583.812,48.96214,0,0,0,124.77797,723.1306,1246.4281,0,0,0,1070.4058,0,0,225.50502,378.2727,872.8557,103.17,0,855.0284,245.7023,0,2108.5242,0,0,136.94734,195.85565,1665.953,1267.4078,944.41187,901.3214,0,423.8779,405.95374,1318.7832,1236.8888,114.116585,0,0,413.07333
Acidothermus cellulolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.61197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax avenae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.24344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax citrulli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.08367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.786842,0,0,0
Acidovorax ebreus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.10466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax sp. JS42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
