Sample,SRR7160364,SRR7162300,SRR7162310,SRR7162312,SRR7162313,SRR7162314,SRR7162317,SRR7162319,SRR7162324,SRR7162327,SRR7162328,SRR7162329,SRR7162330,SRR7162333,SRR7162337,SRR7162338,SRR7162341,SRR7162342,SRR7162348,SRR7162350,SRR7162354,SRR7162357,SRR7162360,SRR7162364,SRR7162367,SRR7162368,SRR7162369,SRR7162371,SRR7162373,SRR7162375,SRR7162376,SRR7162381,SRR7162384,SRR7162385,SRR7162392,SRR7162394,SRR7162395,SRR7162397,SRR7162406,SRR7162409,SRR7162412,SRR7162417,SRR7162419,SRR7162420
CDPS,10080.752,2308.449,6154.843,0,20624.68,0,0,0,4694.0513,8466.243,1400.0824,15208.053,104791.055,0,7962.641,0,0,0,3327.2637,6007.858,0,6729.5796,0,0,0,9149.404,1062.0743,974.83875,0,3166.698,0,4842.0034,3295.2417,2617.1292,1922.9509,0,0,2667.3137,21947.494,789.9873,2850.028,0,8081.817,2840.1394
LAP,0,0,0,0,0,0,3656.8606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRPS,44790.6618,46506.43907,1380.2716,5464.6451,8531.9993,2711.30364,31614.2865,31505.5742,33291.0322,15077.165,11131.35874,15312.69387,16921.3239,72988.07796,47065.16701,1857.16742,25727.02064,12655.7891,17400.08076,16481.4754,11037.4653,19188.3786,70571.2602,7147.4177,1211.79843,5844.3586,19002.89487,2244.7878,2675.28616,10636.90719,14091.9482,4332.89927,12218.9038,7060.04721,40373.4513,4950.4288,4888.0954,1622.4379,6414.6567,32573.22075,17317.27925,21782.20727,35105.9164,12399.6138
NRPS-like,34193.7,11733.9112,40958.5407,9210.48807,21919.79214,2288.535752,9712.3996,12013.3174,14944.4652,15544.44666,0,23766.2722,12753.787,8185.4835,0,28918.01197,1969.4304,5593.90598,52746.6555,5878.1114,11780.45607,3450.4583,17151.8473,41927.3807,8407.19526,5083.2495,7727.82046,10039.37518,33742.02,38916.60755,3694.7736,5165.07511,4857.8222,888.61456,1830.9731,13802.43138,7352.9301,2738.86106,5503.5582,4470.8077,8808.75176,996.87968,9735.5378,16366.9679
RRE-containing,338942.965,226801.1428,249469.3705,270535.9162,210340.164,163268.5676,211798.0238,192381.2623,208757.8476,294251.9091,375560.1647,371227.622,188529.3881,230146.3555,207224.2761,162945.8782,386452.2144,299356.6771,168010.0108,344121.101,243092.9999,356176.447,223816.5715,304209.6431,259133.5305,328365.467,214303.2953,166758.4277,208269.7287,328973.8655,341911.827,345573.976,412598.5763,228331.9451,224516.8046,249326.1042,158113.1359,345925.2809,332782.7383,243436.3498,394965.4306,300468.4619,233839.5621,166102.7149
RaS-RiPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403.2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RiPP-like,51486.7989,31242.9601,40002.54215,71864.58753,27023.4403,80309.97785,52691.7997,26288.3213,17006.8921,116219.9525,5380.78637,84533.2115,56399.6241,27846.5506,64662.3656,52340.221,64513.978,34109.46366,18269.6233,36828.0761,6344.9155,4819.9993,48574.6144,74031.769,84219.50226,56840.5275,31219.2142,6913.9229,122906.9883,38669.42624,0,95616.7574,69588.086,48706.089,14657.87873,51985.368,91218.2192,23468.914,48827.8839,15724.21626,106879.3327,68216.6076,211339.8761,35925.518
T1PKS,0,0,0,1319.1575,0,34.190727,0,0,0,0,0,0,2674.966,79659.3484,1057.25,0,1604.4232,0,0,0,0,11357.525,0,0,0,0,3252.104,0,0,0,1571.6559,0,1563.4435,0,0,506.26492,4333.3047,21137.111,0,2565.85962,1458.9547,2270.618,0,5054.528
T2PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.1975,0,0,0,0,0,0,0,0,0,0,0
T3PKS,0,0,0,0,0,0,0,0,0,1339.7535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4680.3071,0,0
