Feature Name,Score,P-Value,Class Association
Acetohalobium arabaticum,320.46495976713084,1.15e-71,Postmenopause_Control
Acholeplasma laidlawii,566.2165569555191,3.74e-125,Postmenopause_Case
Acidaminococcus fermentans,11638.48575760876,0.00e+00,Postmenopause_Case
Acidimicrobium ferrooxidans,683.8648462015135,9.65e-151,Postmenopause_Control
Aerococcus urinae,1221.5160329933033,1.29e-267,Postmenopause_Case
Aggregatibacter actinomycetemcomitans,2821.296049842526,0.00e+00,Postmenopause_Control
Akkermansia muciniphila,53937.495523833146,0.00e+00,Postmenopause_Case
Alicyclobacillus acidocaldarius,1834.3712181434353,0.00e+00,Postmenopause_Control
Alkaliphilus metalliredigens,3.43618092356608,6.38e-02,Not Significant
Alkaliphilus oremlandii,3079.293380770049,0.00e+00,Postmenopause_Case
Anaerococcus prevotii,20.99097290019019,4.61e-06,Postmenopause_Control
Anaerolinea thermophila,0.30372041979331954,5.82e-01,Not Significant
Atopobium parvulum,378.8871408703152,2.17e-84,Postmenopause_Control
Bacteroides fragilis,199220.9019511452,0.00e+00,Postmenopause_Case
Bacteroides helcogenes,23186.880488602248,0.00e+00,Postmenopause_Control
Bacteroides salanitronis,420345.4555705982,0.00e+00,Postmenopause_Control
Bacteroides thetaiotaomicron,2088.7507458212935,0.00e+00,Postmenopause_Case
Bacteroides vulgatus,39106.83804202838,0.00e+00,Postmenopause_Control
Bdellovibrio bacteriovorus,1737.2950364937205,0.00e+00,Postmenopause_Control
Bifidobacterium adolescentis,11935.804286469094,0.00e+00,Postmenopause_Control
Bifidobacterium bifidum,13233.598026583593,0.00e+00,Postmenopause_Case
Bifidobacterium dentium,2039.0821810002344,0.00e+00,Postmenopause_Control
Bifidobacterium longum,6365.33056818832,0.00e+00,Postmenopause_Case
Brachyspira murdochii,28.518246203424464,9.28e-08,Postmenopause_Case
Brevibacillus brevis,65.90463094218102,4.73e-16,Postmenopause_Case
Burkholderia rhizoxinica,4287.362484769434,0.00e+00,Postmenopause_Control
Butyrivibrio proteoclasticus,5239.055064030361,0.00e+00,Postmenopause_Control
Candidatus Desulforudis audaxviator,405.2749678127823,3.91e-90,Postmenopause_Case
Carboxydothermus hydrogenoformans,139.36645004678905,3.66e-32,Postmenopause_Control
Cellulosilyticum lentocellum,9306.20193157037,0.00e+00,Postmenopause_Control
Cellvibrio japonicus,1344.0872066107036,2.97e-294,Postmenopause_Control
Citrobacter koseri,1762.120953981099,0.00e+00,Postmenopause_Case
Clostridium acetobutylicum,251.11554767371481,1.48e-56,Postmenopause_Case
Clostridium beijerinckii,755.526546190453,2.52e-166,Postmenopause_Case
Clostridium botulinum,1659.56415127219,0.00e+00,Postmenopause_Case
Clostridium cellulolyticum,446.78326958203695,3.62e-99,Postmenopause_Control
Clostridium cellulovorans,123.56133079291234,1.05e-28,Postmenopause_Case
Clostridium ljungdahlii,405.5328954723907,3.44e-90,Postmenopause_Case
Clostridium perfringens,12232.159684398557,0.00e+00,Postmenopause_Case
Clostridium phytofermentans,4547.896408666547,0.00e+00,Postmenopause_Control
Clostridium saccharolyticum,6402.6548712961685,0.00e+00,Postmenopause_Case
Clostridium sp. SY8519,6357.218002028083,0.00e+00,Postmenopause_Case
Clostridium tetani,308.92879195470437,3.74e-69,Postmenopause_Case
Clostridium thermocellum,1360.8187497577112,6.87e-298,Postmenopause_Case
Conexibacter woesei,101.50893417005126,7.11e-24,Postmenopause_Case
Coprothermobacter proteolyticus,3960.824961729969,0.00e+00,Postmenopause_Case
Coriobacterium glomerans,5744.502017711466,0.00e+00,Postmenopause_Control
Cupriavidus taiwanensis,858.6484665658438,9.58e-189,Postmenopause_Control
Cyclobacterium marinum,7.324566299924875,6.80e-03,Postmenopause_Control
Dechloromonas aromatica,302.0672480333154,1.17e-67,Postmenopause_Control
Desulfarculus baarsii,141.66231171902115,1.15e-32,Postmenopause_Control
Desulfitobacterium hafniense,206.35402001766812,8.58e-47,Postmenopause_Control
Desulfobulbus propionicus,844.061035573123,1.42e-185,Postmenopause_Case
Desulfotomaculum acetoxidans,192.56763181087643,8.75e-44,Postmenopause_Case
Desulfotomaculum carboxydivorans,0.10143590689830825,7.50e-01,Not Significant
Desulfovibrio desulfuricans,5618.743194027224,0.00e+00,Postmenopause_Case
Desulfovibrio vulgaris,968.8497783215614,1.06e-212,Postmenopause_Case
Desulfurispirillum indicum,163.1930123791293,2.27e-37,Postmenopause_Control
Dyadobacter fermentans,2.8472756362867235,9.15e-02,Not Significant
Eggerthella lenta,19256.754837581007,0.00e+00,Postmenopause_Case
Eggerthella sp. YY7918,3.7693578539459915,5.22e-02,Not Significant
Elusimicrobium minutum,1421.7851987576178,3.88e-311,Postmenopause_Control
Enterobacter sp. 638,3240.165457562083,0.00e+00,Postmenopause_Case
Enterococcus faecalis,17448.707798890136,0.00e+00,Postmenopause_Case
Erwinia amylovora,9139.164802114516,0.00e+00,Postmenopause_Case
