Feature Name,Score,P-Value,Class Association
CDPS,53834.30461938099,0.00e+00,Premenopause_Case
NRPS,486.7168704131832,7.38e-108,Premenopause_Control
NRPS-like,800.8729674883616,3.49e-176,Premenopause_Control
RRE-containing,31111.804137802173,0.00e+00,Premenopause_Control
RiPP-like,43445.53863556433,0.00e+00,Premenopause_Case
T1PKS,15471.497776489297,0.00e+00,Premenopause_Control
arylpolyene,160285.99448088772,0.00e+00,Premenopause_Case
betalactone,82720.86562440425,0.00e+00,Premenopause_Control
cyclic-lactone-autoinducer,116247.67064692618,0.00e+00,Premenopause_Control
hybrid,2056.635873614315,0.00e+00,Premenopause_Case
ladderane,10661.893466673157,0.00e+00,Premenopause_Case
lanthipeptide-class-i,10874.385592544346,0.00e+00,Premenopause_Control
lanthipeptide-class-ii,12762.837583008048,0.00e+00,Premenopause_Case
lassopeptide,20400.79203790326,0.00e+00,Premenopause_Control
ranthipeptide,84196.22833269648,0.00e+00,Premenopause_Control
resorcinol,321814.60694047814,0.00e+00,Premenopause_Case
sactipeptide,3284.7348823634193,0.00e+00,Premenopause_Case
siderophore,91874.54641118136,0.00e+00,Premenopause_Case
terpene,1135.3713484799725,6.78e-249,Premenopause_Control
thiopeptide,81602.30347574619,0.00e+00,Premenopause_Case
