Feature Name,Score,P-Value,Class Association
Acholeplasma laidlawii,22.02522523344043,2.69e-06,Premenopause_Control
Acidaminococcus fermentans,80.5631180270596,2.82e-19,Premenopause_Case
Acidimicrobium ferrooxidans,5776.857778214882,0.00e+00,Premenopause_Case
Aerococcus urinae,115.4668069929294,6.22e-27,Premenopause_Control
Aggregatibacter actinomycetemcomitans,1292.5844088399997,4.62e-283,Premenopause_Control
Aggregatibacter aphrophilus,193.02212013660466,6.96e-44,Premenopause_Control
Akkermansia muciniphila,28958.89741439392,0.00e+00,Premenopause_Case
Alicyclobacillus acidocaldarius,4655.129253567928,0.00e+00,Premenopause_Control
Alkaliphilus metalliredigens,709.7646852519451,2.25e-156,Premenopause_Case
Alkaliphilus oremlandii,1150.2375940190204,3.98e-252,Premenopause_Control
Ammonifex degensii,1.2230093314086767,2.69e-01,Not Significant
Anaerococcus prevotii,1853.9879747694126,0.00e+00,Premenopause_Control
Atopobium parvulum,12.742083367719717,3.58e-04,Premenopause_Control
Bacteroides fragilis,75343.08688895046,0.00e+00,Premenopause_Case
Bacteroides helcogenes,16036.731914878215,0.00e+00,Premenopause_Case
Bacteroides salanitronis,139512.64915098538,0.00e+00,Premenopause_Control
Bacteroides thetaiotaomicron,43821.104447209465,0.00e+00,Premenopause_Case
Bacteroides vulgatus,495775.3069965937,0.00e+00,Premenopause_Case
Bdellovibrio bacteriovorus,67.60539444340918,2.00e-16,Premenopause_Control
Bifidobacterium adolescentis,13302.298946993411,0.00e+00,Premenopause_Control
Bifidobacterium bifidum,0.5096700181166282,4.75e-01,Not Significant
Bifidobacterium dentium,3934.316808614512,0.00e+00,Premenopause_Control
Bifidobacterium longum,3285.282448277001,0.00e+00,Premenopause_Control
Brachyspira murdochii,35.47738738280495,2.58e-09,Premenopause_Case
Brevibacillus brevis,68.02267851642681,1.62e-16,Premenopause_Control
Burkholderia rhizoxinica,3530.8099541398724,0.00e+00,Premenopause_Control
Butyrivibrio proteoclasticus,24848.169904834747,0.00e+00,Premenopause_Control
Candidatus Nitrospira defluvii,41.38328154221986,1.25e-10,Premenopause_Case
Carboxydothermus hydrogenoformans,618.0478037242799,1.99e-136,Premenopause_Control
Cellulosilyticum lentocellum,8210.875480826227,0.00e+00,Premenopause_Control
Cellvibrio japonicus,1557.0311393347424,0.00e+00,Premenopause_Control
Chloroherpeton thalassium,29.367213080572007,5.99e-08,Premenopause_Control
Clostridium acetobutylicum,425.0013747178978,1.99e-94,Premenopause_Case
Clostridium beijerinckii,732.8418156326456,2.16e-161,Premenopause_Case
Clostridium botulinum,385.1430552436858,9.45e-86,Premenopause_Case
Clostridium cellulolyticum,2029.3067364268013,0.00e+00,Premenopause_Control
Clostridium cellulovorans,202.35565061752396,6.39e-46,Premenopause_Case
Clostridium ljungdahlii,174.4834676810091,7.76e-40,Premenopause_Control
Clostridium perfringens,671.1367332389827,5.65e-148,Premenopause_Case
Clostridium phytofermentans,2467.591191837513,0.00e+00,Premenopause_Control
Clostridium saccharolyticum,6636.063498048836,0.00e+00,Premenopause_Case
Clostridium sp. SY8519,1829.9353578220173,0.00e+00,Premenopause_Case
Clostridium tetani,5.828982318910958,1.58e-02,Premenopause_Control
Clostridium thermocellum,518.9676776760493,7.10e-115,Premenopause_Case
Collimonas fungivorans,118.74976396622415,1.19e-27,Premenopause_Case
Conexibacter woesei,350.21869993643145,3.80e-78,Premenopause_Control
Coprothermobacter proteolyticus,154.12766345024778,2.17e-35,Premenopause_Case
